13,624
14,892
16,2808
18,528
19,2528
20,3325
22,966
24,1248
25,3481
27,1332
28,4224
30,1765
32,1821
33,4801
34,3726
35,2279
37,3795
38,2663
39,4451
41,3009
42,4624
44,5335
45,5733
46,4773
47,5597
49,4531
50,5918
51,4039
53,4688
54,6332
56,4543
58,5525
59,6578
61,5794
62,7556
64,6067
66,6333
68,6906
69,6333
70,5663
72,8740
74,8746
76,7601
77,7038
79,7707
80,6669
82,7970
84,7308
85,8497
87,8220
88,8089
89,9451
90,8724
92,10272
93,8891
94,10662
96,8318
97,9760
98,10051
98,10837
101,11428
102,9497
104,10537
106,10419
107,11139
108,12190
109,11620
111,11764
113,10640
115,10600
116,11921
118,10445
120,11251
121,13276
123,12855
124,11651
126,12989
128,11572
129,14138
130,13471
